Cliente [cód];Venda anual;Últim venda;Família
IMOBRAS IND. DE MOTORES ELETRICOS LTDA [26539];32.342.000.000.000.000;15/10/2024 00:00;PSeI
IMOBRAS IND. DE MOTORES ELETRICOS LTDA [26539];282.93;21/12/2022 00:00;REFL
IMOBRAS IND. DE MOTORES ELETRICOS LTDA [26539];99;11/07/2024 00:00;SATW
IMOBRAS IND. DE MOTORES ELETRICOS LTDA [26539];62;03/10/2013 00:00;TAPT
IMOLD IMPRESSOS PARA INJECAO LTDA [39612];20;29/05/2019 00:00;_ASD
IMOLD IMPRESSOS PARA INJECAO LTDA [39612];66;17/10/2017 00:00;_EPI
IMOLD IMPRESSOS PARA INJECAO LTDA [39612];850;07/03/2019 00:00;_OUT
IMOLD IMPRESSOS PARA INJECAO LTDA [39612];37.51;21/06/2017 00:00;AUTO
IMOLD IMPRESSOS PARA INJECAO LTDA [39612];29.290.999.999.999.900;09/04/2019 00:00;IATD
IMOLD IMPRESSOS PARA INJECAO LTDA [39612];1220.6;13/03/2019 00:00;PSeI
IMOLD TECNICA E INDUSTRIAL LTDA [27778];10.94;22/01/2020 00:00;_ASD
IMOLD TECNICA E INDUSTRIAL LTDA [27778];44.55;22/03/2022 00:00;_EPI
IMOLD TECNICA E INDUSTRIAL LTDA [27778];331.67;21/02/2024 00:00;_OUT
IMOLD TECNICA E INDUSTRIAL LTDA [27778];137.37;31/08/2021 00:00;AUTO
IMOLD TECNICA E INDUSTRIAL LTDA [27778];20;07/10/2014 00:00;ELET
IMOLD TECNICA E INDUSTRIAL LTDA [27778];7.097.490.000.000.000;28/06/2023 00:00;IATD
IMOLD TECNICA E INDUSTRIAL LTDA [27778];147.41;03/11/2022 00:00;PAPE
IMOLD TECNICA E INDUSTRIAL LTDA [27778];28;07/10/2014 00:00;PELI
IMOLD TECNICA E INDUSTRIAL LTDA [27778];392.42;30/05/2023 00:00;PSeI
IMOLD TECNICA E INDUSTRIAL LTDA [27778];45.5;03/02/2021 00:00;TAPT
IMOTECH IND PROD DE ACIONAM ELETROMEC LTDA [38300];23.526.999.999.999.900;09/10/2013 00:00;IATD
IMOTECH IND PROD DE ACIONAM ELETROMEC LTDA [38300];62;09/10/2013 00:00;TAPT
IMP EQUIPAMENTOS MEDICOS LTDA [56069];47.72;23/04/2021 00:00;IATD
IMP EQUIPAMENTOS MEDICOS LTDA [56069];111.83;17/05/2024 00:00;PSeI
IMPAR COMERCIO E REPRESENTACOES LTDA [31552];80.5;08/12/2016 00:00;IATD
IMPAR MANUTENCAO INDUSTRIAL LTDA ME [37059];10.4;13/06/2013 00:00;PR3M
IMP-CRIL TRATAMENTO DE PISOS LTDA - ME [49276];9.2;14/03/2017 00:00;ELET
IMP-CRIL TRATAMENTO DE PISOS LTDA - ME [49276];5.5;14/03/2017 00:00;PSeI
IMP-CRIL TRATAMENTO DE PISOS LTDA - ME [49276];8.911.500.000.000.000;22/03/2017 00:00;SATW
IMPISA INDUSTRIA DE ARTEFATOS DE PAPEL LTDA [46541];95.1;08/03/2016 00:00;IATD
IMPORTADORA AMERICANA LTDA [54372];4481;27/02/2020 00:00;PSeI
IMPORTADORA EXPORTADORA MEDIDORES POLIMATE LTDA [34098];52;05/09/2013 00:00;_OUT
IMPORTADORA EXPORTADORA MEDIDORES POLIMATE LTDA [34098];43.39;03/08/2017 00:00;IATD
IMPORTADORA EXPORTADORA MEDIDORES POLIMATE LTDA [34098];49.299.999.999.999.900;05/09/2013 00:00;PSeI
IMPORTADORA POPULAR LTDA  [66670];68.31;01/08/2025 00:00;_OUT
IMPORTADORA POPULAR LTDA  [66670];776.55;01/08/2025 00:00;PAPE
IMPORTADORA QUIMICA DELAWARE LTDA-EPP [36676];1761.9;21/05/2025 00:00;PSeI
IMPORTEC REVEST AUTOMOB E AERONAUTICOS LTDA [49884];1675.04;17/06/2021 00:00;_OUT
IMPORTHERM IMPORTACAO E INDUSTRIA LTDA [63069];376.46;03/02/2023 00:00;_OUT
IMPORTHERM IMPORTACAO E INDUSTRIA LTDA [63069];583.16;03/02/2023 00:00;IATD
IMPORTHERM IMPORTACAO E INDUSTRIA LTDA [63069];390.39;03/02/2023 00:00;PAPE
IMPORTHERM IMPORTACAO E INDUSTRIA LTDA [63069];523.45;03/02/2023 00:00;PSeI
IMPORTS POA COMERCIO DE PECAS USADAS LTDA [60543];596.76;21/07/2025 00:00;_OUT
IMPORTS POA COMERCIO DE PECAS USADAS LTDA [60543];284.92;23/06/2025 00:00;IATD
IMPORTS POA COMERCIO DE PECAS USADAS LTDA [60543];103.88;13/06/2022 00:00;PAPE
IMPORTS POA COMERCIO DE PECAS USADAS LTDA [60543];114;21/11/2024 00:00;PSeI
IMPRESUL SERVICOS GRAFICOS E EDITORA LTDA [25946];425;17/04/2014 00:00;
IMPRESUL SERVICOS GRAFICOS E EDITORA LTDA [25946];4033.28;23/04/2025 00:00;IATD
IMPRESUL SERVICOS GRAFICOS E EDITORA LTDA [25946];729.85;13/06/2016 00:00;PSeI
IMPRIOLI SUPRIMENTOS DE INFORMATICA LTDA [53466];75.02;03/07/2025 00:00;_ASD
IMPRIOLI SUPRIMENTOS DE INFORMATICA LTDA [53466];5.336.800.000.000.000;18/08/2025 00:00;_OUT
IMPRIOLI SUPRIMENTOS DE INFORMATICA LTDA [53466];44.08;27/09/2024 00:00;AUTO
IMPRIOLI SUPRIMENTOS DE INFORMATICA LTDA [53466];159.52;14/01/2025 00:00;IATD
IMPRIOLI SUPRIMENTOS DE INFORMATICA LTDA [53466];64.16;11/07/2024 00:00;PSeI
IMPROTEC COMERCIO DE MATERIAL CIRURGICO LTDA [30918];517.31;17/06/2025 00:00;IATD
IMRCON INSTALADORA DE AR CONDICIONADO LTDA [65840];3592.09;26/03/2025 00:00;IATD
IMS SOLUCOES EM ENERGIA LTDA [42631];130;05/11/2018 00:00;_OUT
IMS SOLUCOES EM ENERGIA LTDA [42631];585;05/11/2024 00:00;IATD
IMS SOLUCOES EM ENERGIA LTDA [42631];604.12;05/09/2025 00:00;PSeI
IMUNIZADORA HOFFMANN LTDA [54312];833.4;26/05/2021 00:00;PSeI
IMUNOSUL DIST. DE VACINAS PROD. MED. HOSP. LTDA. [28885];35.75;09/03/2015 00:00;_EPI
IMUNOSUL DIST. DE VACINAS PROD. MED. HOSP. LTDA. [28885];1095.8;25/06/2020 00:00;_OUT
IMUNOSUL DIST. DE VACINAS PROD. MED. HOSP. LTDA. [28885];1925.98;22/08/2016 00:00;PSeI
INA TERESINHA RUPP [48037];101.7;18/04/2019 00:00;_ASD
INA TERESINHA RUPP [48037];7.5;18/04/2019 00:00;_EPI
INA TERESINHA RUPP [48037];50;17/11/2016 00:00;_OUT
INA TERESINHA RUPP [48037];210;04/08/2017 00:00;AUTO
INA TERESINHA RUPP [48037];11.224.000.000.000.000;30/07/2019 00:00;ELET
INA TERESINHA RUPP [48037];53.95;30/07/2019 00:00;IATD
INACIO DE DEUS [47117];544.8;04/07/2024 00:00;_ABR
INACIO DE DEUS [47117];330;18/01/2018 00:00;_ASD
INAIA ZLUHAN COMERCIO DE ACESSORIOS EIRELI FILIAL [37724];316.5;30/04/2014 00:00;IATD
INAIA ZLUHAN COMERCIO DE ACESSORIOS EIRELI FILIAL [37724];356.4;30/04/2014 00:00;PSeI
INARCAN INDUSTRIA E COMERCIO DE ARAMADOS LTDA [44591];0.2;20/07/2015 00:00;_ASD
INBRACAST IND BRAS DE COMPONENTES AUTOMOTIVOS [53438];680;07/11/2018 00:00;_ASD
INBRACAST IND BRAS DE COMPONENTES AUTOMOTIVOS [53438];17.126.100.000.000.000;26/02/2020 00:00;IATD
INBRACAST IND BRAS DE COMPONENTES AUTOMOTIVOS [53438];369.36;05/07/2019 00:00;PSeI
INBRACELL IND BRASIL DE ACUMULADORES ELET LTD [52645];340;18/09/2018 00:00;_ASD
INBRACELL IND BRASIL DE ACUMULADORES ELET LTD [52645];115.5;04/03/2022 00:00;ELET
INBRACELL IND BRASIL DE ACUMULADORES ELET LTD [52645];6.900.699.999.999.990;21/03/2022 00:00;FECH
INBRACELL IND BRASIL DE ACUMULADORES ELET LTD [52645];50.065.000.000.000.000;03/10/2018 00:00;IATD
INBRACELL IND BRASIL DE ACUMULADORES ELET LTD [52645];195;03/10/2018 00:00;PSeI
INBRAMED IND.BRAS. DE EQUIP.MEDICOS LTDA. [27851];200;30/04/2019 00:00;_OUT
INBRAMED IND.BRAS. DE EQUIP.MEDICOS LTDA. [27851];66.8;20/04/2021 00:00;IATD
INBRAMED IND.BRAS. DE EQUIP.MEDICOS LTDA. [27851];216.4;20/04/2021 00:00;PSeI
INBRASPORT INDUSTRIA BRASILEIRA DE EQUIPAMENTOS ME [35180];5.161.899.999.999.990;15/10/2014 00:00;_OUT
INBRASPORT INDUSTRIA BRASILEIRA DE EQUIPAMENTOS ME [35180];28.8;11/06/2013 00:00;IATD
INCABRAS COMERCIO DE CARIMBOS BRASIL LTDA EPP [29693];28.36;19/06/2018 00:00;_EPI
INCABRAS COMERCIO DE CARIMBOS BRASIL LTDA EPP [29693];35.04;19/09/2024 00:00;IATD
INCABRAS COMERCIO DE CARIMBOS BRASIL LTDA EPP [29693];30;13/08/2019 00:00;PSeI
INCOCIL INDUSTRIA E COMERCIO DE CILINDROS LTDA [59009];59.2;23/12/2020 00:00;PSeI
INCOFLEX INDUSTRIA DE FLEXIVEIS LTDA [27121];77.949.400.000.000.000;20/08/2025 00:00;IATD
INCOMAVE - INDUSTRIA E COM. DE AP. VET. LTDA-ME [42923];22.079.999.999.999.900;25/11/2015 00:00;IATD
INCOMES INDUSTRIA DE MAQUINAS LTDA-COFRESINOS [32845];230;18/01/2017 00:00;ELET
INCOMES INDUSTRIA DE MAQUINAS LTDA-COFRESINOS [32845];468.75;07/02/2025 00:00;IATD
INCOMES INDUSTRIA DE MAQUINAS LTDA-COFRESINOS [32845];794.16;11/12/2018 00:00;PSeI
INCOMIL  IND E COM DE MINERIOS LTDA - EPP [46434];92.7;08/10/2024 00:00;_ASD
INCOMIL  IND E COM DE MINERIOS LTDA - EPP [46434];94.5;25/09/2024 00:00;_OUT
INCOMIL  IND E COM DE MINERIOS LTDA - EPP [46434];25.32;27/09/2024 00:00;ELET
INCOMIL  IND E COM DE MINERIOS LTDA - EPP [46434];174.11;25/09/2024 00:00;IATD
INCOMIL  IND E COM DE MINERIOS LTDA - EPP [46434];6.026.500.000.000.000;11/02/2025 00:00;SIKA
INCOREVEST  IND E COM DE PISOS E REV LTDA ME [39410];1151.36;30/08/2018 00:00;IATD
INCOREVEST  IND E COM DE PISOS E REV LTDA ME [39410];1153.44;13/03/2018 00:00;PSeI
INCORPORADORA DON FELIPE LTDA [44371];2125;24/06/2015 00:00;SATW
INCORPORADORA E CONSTRUTORA PAMPA LTDA [65773];2532.64;10/12/2024 00:00;IATD
INCOTERM INDUSTRIA DE TERMOMETROS LTDA [33618];386.3;02/09/2021 00:00;_OUT
INCOTERM INDUSTRIA DE TERMOMETROS LTDA [33618];636;07/11/2024 00:00;IATD
INCOTERM INDUSTRIA DE TERMOMETROS LTDA [33618];6660;07/07/2025 00:00;PSeI
INCOTERM INDUSTRIA DE TERMOMETROS LTDA [33618];125;31/08/2017 00:00;TEFL
IND COM IMP E EXP DE PLASTICOS GRANDESUL LTDA [60147];1384;20/07/2021 00:00;_OUT
IND DE ESQUADRIAS BUTTENBENDER LTDA [49543];87;02/04/2018 00:00;FELT
IND DE ESQUADRIAS BUTTENBENDER LTDA [49543];2539.73;05/07/2024 00:00;IATD
IND DE ESQUADRIAS BUTTENBENDER LTDA [49543];406.5;05/07/2024 00:00;PAPE
IND DE ESQUADRIAS BUTTENBENDER LTDA [49543];1384;05/07/2024 00:00;PSeI
IND E COM DE COUROS DOWIDI LTDA [37049];10988.22;11/11/2013 00:00;_ABR
IND E COM DE COUROS DOWIDI LTDA [37049];77.323.099.999.999.900;31/10/2013 00:00;_ASD
IND E COM MARTAU TECNOLOGIA DO CONFORTO LTDA [55023];21.7;24/03/2022 00:00;_ASD
IND E COM MARTAU TECNOLOGIA DO CONFORTO LTDA [55023];60;12/01/2024 00:00;_OUT
IND E COM MARTAU TECNOLOGIA DO CONFORTO LTDA [55023];2;24/03/2022 00:00;_PVC
IND E COM MARTAU TECNOLOGIA DO CONFORTO LTDA [55023];6.1;10/02/2022 00:00;ELET
IND E COM MARTAU TECNOLOGIA DO CONFORTO LTDA [55023];60.92;06/10/2023 00:00;IATD
IND E COM MARTAU TECNOLOGIA DO CONFORTO LTDA [55023];117.82;18/05/2020 00:00;PAPE
IND E COM MARTAU TECNOLOGIA DO CONFORTO LTDA [55023];37.71;11/04/2024 00:00;PSeI
IND EQUIP INDUSTRIAIS JACUI LTDA [63253];86.5;09/12/2024 00:00;_ASD
IND. DE MOVEIS SILVA SANTOS LTDA. [27717];142.5;02/10/2018 00:00;_ABR
IND. DE MOVEIS SILVA SANTOS LTDA. [27717];3788.4;06/02/2025 00:00;_ASD
IND. DE MOVEIS SILVA SANTOS LTDA. [27717];1;25/03/2024 00:00;AUTO
IND. DE MOVEIS SILVA SANTOS LTDA. [27717];26.079.999.999.999.900;24/02/2014 00:00;ELET
IND. DE MOVEIS SILVA SANTOS LTDA. [27717];96;16/04/2021 00:00;IATD
IND. DE MOVEIS SILVA SANTOS LTDA. [27717];31.146.999.999.999.900;24/02/2014 00:00;PELI
IND. DE MOVEIS SILVA SANTOS LTDA. [27717];1042;24/03/2025 00:00;PSeI
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];366.7;09/04/2021 00:00;_ABR
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];6.596.600.000.000.000;09/04/2021 00:00;_ASD
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];168.37;31/01/2020 00:00;_EPI
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];709.64;01/07/2021 00:00;_OUT
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];82.6;08/10/2019 00:00;AUTO
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];496.75;04/10/2017 00:00;ELET
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];6.898.299.999.999.990;25/05/2020 00:00;IATD
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];5.944.599.999.999.990;10/09/2018 00:00;PAPE
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];1464;07/11/2014 00:00;PEL2
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];162.25;01/09/2017 00:00;PLXT
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];100.35;01/07/2021 00:00;PSeI
IND. E COM. DE MOVEIS BENTO B. DA SILVA LTDA. [27607];75;29/03/2019 00:00;SATW
INDEL INDUSTRIA ELETROMECANICA LTDA [64227];851.8;19/10/2023 00:00;IATD
INDEX DISTRIBUIDORA DE ALIMENTOS LTDA [59771];243;10/01/2024 00:00;_OUT
INDEX DISTRIBUIDORA DE ALIMENTOS LTDA [59771];173.1;09/02/2022 00:00;IATD
INDEX DISTRIBUIDORA DE ALIMENTOS LTDA [59771];3316;12/03/2024 00:00;PSeI
INDEX FITNESS LTDA - ME [35639];35;07/02/2013 00:00;IATD
INDFEMA IND COM E REPRES DEFERRAM P/ MADEIR LTDA [28190];808.8;04/05/2016 00:00;PSeI
INDIARA LOURENCO BORGES [37950];13.554.000.000.000.000;16/09/2013 00:00;IATD
INDROFER INDUSTRIA DE ACO LTDA - EPP [37802];121.66;20/11/2013 00:00;_OUT
INDROFER INDUSTRIA DE ACO LTDA - EPP [37802];147.7;24/10/2014 00:00;FTAQ
INDROFER INDUSTRIA DE ACO LTDA - EPP [37802];291.4;06/08/2015 00:00;IATD
INDROFER INDUSTRIA DE ACO LTDA - EPP [37802];23.68;04/08/2015 00:00;PSeI
INDUSMAQ INDUSTRIA DE MAQUINAS LTDA [30594];1801.12;26/06/2025 00:00;_ASD
INDUSMAQ INDUSTRIA DE MAQUINAS LTDA [30594];8.026.700.000.000.000;15/10/2024 00:00;_OUT
INDUSMAQ INDUSTRIA DE MAQUINAS LTDA [30594];57.6;07/11/2022 00:00;ELET
INDUSMAQ INDUSTRIA DE MAQUINAS LTDA [30594];205.11;26/06/2025 00:00;IATD
INDUSMAQ INDUSTRIA DE MAQUINAS LTDA [30594];60.35;26/06/2024 00:00;PAPE
INDUSMAQ INDUSTRIA DE MAQUINAS LTDA [30594];1054.52;18/07/2025 00:00;PSeI
INDUSMAQ INDUSTRIA DE MAQUINAS LTDA [30594];149.9;31/05/2019 00:00;SATW
INDUSMAQ INDUSTRIA DE MAQUINAS LTDA [30594];183.5;20/01/2022 00:00;SIKA
INDUSMAQ INDUSTRIA DE MAQUINAS LTDA [30594];90.9;17/06/2020 00:00;TAPT
INDUSMART IND E COM LTDA [64697];694.4;12/06/2025 00:00;IATD
INDUSTRIA  DE MAQ ERPS LTDA [58745];253;21/08/2025 00:00;ELET
INDUSTRIA COMERCIO E REPRES DE MALHAS DAIANE LTDA [30784];1008;02/02/2018 00:00;IATD
INDUSTRIA DE ALIMENTOS KODAMA LTDA - FILIAL [28800];8727.8;17/07/2014 00:00;IATD
INDUSTRIA DE ALIMENTOS KODAMA LTDA - FILIAL [28800];660;30/08/2013 00:00;TEFL
INDUSTRIA DE CARROCERIAS BOCK LTDA [32289];21.083.999.999.999.900;15/01/2013 00:00;_EPI
INDUSTRIA DE ESQUADRIAS PRATA LTDA.  [55015];552;16/02/2023 00:00;ELET
INDUSTRIA DE ESQUADRIAS PRATA LTDA.  [55015];23550.9;19/05/2025 00:00;IATD
INDUSTRIA DE ESQUADRIAS PRATA LTDA.  [55015];365.3;10/09/2019 00:00;PSeI
INDUSTRIA DE FIBRAS FELIZ LTDA [41033];9.429.000.000.000.000;25/11/2014 00:00;IATD
INDUSTRIA DE MOVEIS E ESQ ROTA DO SOL LTDA -ME [35990];287;18/03/2013 00:00;_ABR
INDUSTRIA DE MOVEIS E ESQ ROTA DO SOL LTDA -ME [35990];742.5;19/07/2013 00:00;_ASD
INDUSTRIA DE MOVEIS E ESQ ROTA DO SOL LTDA -ME [35990];120;25/07/2013 00:00;IATD
INDUSTRIA DE MOVEIS GAUER LTDA [25537];172;29/09/2017 00:00;IATD
INDUSTRIA DE MOVEIS GAUER LTDA [25537];23.939.999.999.999.900;15/09/2016 00:00;PAPE
INDUSTRIA DE MOVEIS KADUSU LTDA [51246];8.502.299.999.999.990;19/08/2019 00:00;_ABR
INDUSTRIA DE MOVEIS KADUSU LTDA [51246];9.8;19/03/2019 00:00;_ASD
INDUSTRIA DE MOVEIS KADUSU LTDA [51246];1320;05/03/2025 00:00;_OUT
INDUSTRIA DE MOVEIS KADUSU LTDA [51246];736.78;09/07/2025 00:00;ELET
INDUSTRIA DE MOVEIS KADUSU LTDA [51246];11215.4;25/08/2025 00:00;IATD
INDUSTRIA DE MOVEIS KADUSU LTDA [51246];3580.67;15/08/2025 00:00;PAPE
INDUSTRIA DE MOVEIS KADUSU LTDA [51246];552;23/06/2020 00:00;PLXT
INDUSTRIA DE MOVEIS KADUSU LTDA [51246];7704;25/08/2025 00:00;PSeI
INDUSTRIA DE MOVEIS LUSTRO LTDA [2233];3035;06/06/2025 00:00;IATD
INDUSTRIA DE PELES MINUANO LTDA [31043];172.6;05/02/2013 00:00;ELET
INDUSTRIA DE PELES MINUANO LTDA [31043];1941;18/08/2025 00:00;IATD
INDUSTRIA DE PELES MINUANO LTDA [31043];20.178.640.000.000.000;04/09/2025 00:00;PSeI
INDUSTRIA DE PELES MINUANO LTDA [31043];4378.5;18/02/2013 00:00;SATW
INDUSTRIA DE PELES MINUANO LTDA [44552];60.5;16/07/2015 00:00;IATD
INDUSTRIA DE PLASTICOS HERC LTDA [37137];2408;24/09/2024 00:00;_ASD
INDUSTRIA DE PLASTICOS HERC LTDA [37137];1600.65;22/01/2025 00:00;_OUT
INDUSTRIA DE PLASTICOS HERC LTDA [37137];26.61;19/05/2021 00:00;PSeI
INDUSTRIA DE PLASTICOS HERC LTDA [37137];765;20/05/2025 00:00;TEFL
INDUSTRIA DE PLASTICOS PAMPA LTDA. [27953];39.02;30/10/2014 00:00;IATD
INDUSTRIA DE PLASTICOS SULPLASTIC LTDA [28035];6.929.280.000.000.000;28/02/2014 00:00;PSeI
INDUSTRIA E COMERCIO BASTOS LTDA [29555];19.973.809.999.999.900;19/07/2022 00:00;_ASD
INDUSTRIA FOGOES LITORAL LTDA - ME [51133];284.9;08/12/2017 00:00;_ASD
INDUSTRIA FOGOES LITORAL LTDA - ME [51133];95.16;21/05/2025 00:00;IATD
INDUSTRIA GRAFICA NOSCHANG LTDA [64304];25811;30/01/2025 00:00;IATD
INDUSTRIA METALURGICA DIVERSA LTDA [42658];492;30/01/2023 00:00;IATD
INDUSTRIA NACIONAL DE ACO PRONTO LTDA [41697];36;08/09/2014 00:00;IATD
INDUSTRIA NACIONAL DE ACO PRONTO LTDA [41697];66;08/09/2014 00:00;PSeI
INDUSTRIA SERIGRAFICA TEKNE LTDA [1999];92;12/02/2014 00:00;_OUT
INDUSTRIA SERIGRAFICA TEKNE LTDA [1999];897.4;07/11/2016 00:00;IATD
INDUSTRIA SERIGRAFICA TEKNE LTDA [1999];265.09;07/11/2016 00:00;PSeI
INDUSTRIAL COMERCIO DE TINTAS LTDA [59224];211.68;07/01/2022 00:00;IATD
INDUSTRIAL COMERCIO DE TINTAS LTDA [59224];91;04/02/2021 00:00;PSeI
INDUSTRIAL GAS SERVICE LTDA [47912];5;20/04/2022 00:00;_ABR
INDUSTRIAL GAS SERVICE LTDA [47912];600;10/04/2025 00:00;_OUT
INDUSTRIAL GAS SERVICE LTDA [47912];370;12/04/2022 00:00;_PVC
INDUSTRIAL GAS SERVICE LTDA [47912];234;09/10/2020 00:00;ELET
INDUSTRIAL GAS SERVICE LTDA [47912];142.8;24/01/2024 00:00;FTAQ
INDUSTRIAL GAS SERVICE LTDA [47912];400.14;10/04/2025 00:00;IATD
INDUSTRIAL GAS SERVICE LTDA [47912];13.958.999.999.999.900;10/04/2025 00:00;PAPE
INDUTEC INDUSTRIA TECNOLOGICA LTDA  [53676];6.909.200.000.000.000;13/05/2025 00:00;_OUT
INDUTEC INDUSTRIA TECNOLOGICA LTDA  [53676];436.93;06/02/2024 00:00;FTAQ
INDUTEC INDUSTRIA TECNOLOGICA LTDA  [53676];646.58;23/05/2025 00:00;IATD
INELBRA INDUSTRIAL ELETRICA LTDA [58884];461.5;08/10/2021 00:00;IATD
INFASUL FACAS INDUSTRIAIS LTDA [26925];1634.58;10/08/2022 00:00;PSeI
INFOCOPY INDUSTRIA GRAFICA LTDA [65697];4154.55;13/02/2025 00:00;IATD
INFOSTOK COM DE TECNOLOGIA LTDA [29879];25.35;28/08/2013 00:00;IATD
INFOSTOK COM DE TECNOLOGIA LTDA [29879];125;13/02/2014 00:00;PSeI
INGECON INSTALACOES COMERCIAIS LTDA [27856];4911.5;05/11/2019 00:00;_ASD
INGECON INSTALACOES COMERCIAIS LTDA [27856];265;22/08/2018 00:00;_CFM
INGECON INSTALACOES COMERCIAIS LTDA [27856];875;28/05/2015 00:00;_EPI
INGECON INSTALACOES COMERCIAIS LTDA [27856];1005.46;27/08/2025 00:00;_OUT
INGECON INSTALACOES COMERCIAIS LTDA [27856];160;02/08/2021 00:00;_PVC
INGECON INSTALACOES COMERCIAIS LTDA [27856];616;26/07/2024 00:00;ELET
INGECON INSTALACOES COMERCIAIS LTDA [27856];132;15/06/2016 00:00;FELT
INGECON INSTALACOES COMERCIAIS LTDA [27856];12334.42;20/08/2025 00:00;IATD
INGECON INSTALACOES COMERCIAIS LTDA [27856];2956.25;18/08/2025 00:00;PEL2
INGECON INSTALACOES COMERCIAIS LTDA [27856];4.518.017.999.999.990;09/09/2021 00:00;PSeI
INGECON INSTALACOES COMERCIAIS LTDA [27856];256.4;24/10/2024 00:00;SATW
INGECON INSTALACOES COMERCIAIS LTDA [27856];325.8;06/02/2025 00:00;SIKA
INGRID SALDANHA SPIER 83692223072 [54868];160.91;24/06/2019 00:00;TAPT
INJECT PLASTICOS LTDA [58744];36.863.999.999.999.900;07/04/2022 00:00;IATD
INJECT PLASTICOS LTDA [58744];8529.92;04/08/2025 00:00;PSeI
INK SUL CARTUCHOS LTDA - EPP [35976];140.4;19/04/2022 00:00;IATD
INOR BARBOZA DA SILVA [35970];13.15;08/03/2013 00:00;REFL
INOVA COMERCIO DE EPIS HIGIENE E LIMPEZA LTDA [29099];1440.39;20/08/2025 00:00;IATD
INOVA COMERCIO DE EPIS HIGIENE E LIMPEZA LTDA [29099];68.85;28/11/2019 00:00;REFL
INOVA COMERCIO DE EPIS HIGIENE E LIMPEZA LTDA [29099];160;18/09/2017 00:00;SATW
INOVAR PROMOCOES E MERCHANDISING LTDA  [55496];20;05/07/2024 00:00;_ASD
INOVAR PROMOCOES E MERCHANDISING LTDA  [55496];18.84;27/01/2023 00:00;FECH
INOVAR PROMOCOES E MERCHANDISING LTDA  [55496];33;25/04/2023 00:00;IATD
INOVATIS POA COMERCIAL LTDA [59399];1802;01/08/2025 00:00;_PVC
INOVATIS POA COMERCIAL LTDA [59399];3676.71;01/08/2025 00:00;IATD
INOVATIS POA COMERCIAL LTDA [59399];22.05;27/09/2024 00:00;SIKA
INOX BRASIL INDÚSTRIA E COMÉRCIO LTDA ME [28588];385.02;29/05/2025 00:00;_ASD
INOX BRASIL INDÚSTRIA E COMÉRCIO LTDA ME [28588];80;17/02/2016 00:00;_OUT
INOX BRASIL INDÚSTRIA E COMÉRCIO LTDA ME [28588];64.35;28/02/2019 00:00;IATD
INOX BRASIL INDÚSTRIA E COMÉRCIO LTDA ME [28588];214.6;18/12/2013 00:00;PSeI
INOX PRIME COMERCIO DE ACOS EIRELI - ME [45580];350;28/03/2018 00:00;_OUT
INOX PRIME COMERCIO DE ACOS EIRELI - ME [45580];4871.73;28/03/2018 00:00;PAPE
INOX RIOGRANDENSE INDUSTRIA E COMERCIO LTDA [51995];10;02/12/2020 00:00;_ABR
INOX RIOGRANDENSE INDUSTRIA E COMERCIO LTDA [51995];595.38;03/02/2022 00:00;_ASD
INOX RIOGRANDENSE INDUSTRIA E COMERCIO LTDA [51995];802.68;30/05/2023 00:00;_OUT
INOX RIOGRANDENSE INDUSTRIA E COMERCIO LTDA [51995];24.71;24/05/2022 00:00;IATD
INOX RIOGRANDENSE INDUSTRIA E COMERCIO LTDA [51995];78.66;02/03/2023 00:00;PSeI
INOX RIOGRANDENSE INDUSTRIA E COMERCIO LTDA [51995];50.67;06/01/2021 00:00;SIKA
INSELETRO MONTAGENS ELETRICAS LTDA [29791];51;03/08/2015 00:00;ELET
INSELETRO MONTAGENS ELETRICAS LTDA [29791];40;20/06/2018 00:00;IATD
INSELETRO MONTAGENS ELETRICAS LTDA [29791];172.8;15/01/2014 00:00;PSeI
INSIDE COMERCIO DE EMBALAGENS LTDA [64117];80;16/08/2023 00:00;PSeI
INSPETORIA OU PROVINCIA NOSSA SENHORA APARECIDA [52316];38.2;14/05/2018 00:00;IATD
INST NAC METROLOGIA QUALIDADE TECNOLOGIA - INMETRO [32280];62.1;17/09/2014 00:00;_OUT
INST NAC METROLOGIA QUALIDADE TECNOLOGIA - INMETRO [32280];7.7;04/05/2016 00:00;FELT
INST NAC METROLOGIA QUALIDADE TECNOLOGIA - INMETRO [32280];185.15;26/04/2016 00:00;IATD
INST NAC METROLOGIA QUALIDADE TECNOLOGIA - INMETRO [32280];21.75;24/07/2015 00:00;PELI
INSTALADORA ELETRICA MERCURIO LTDA [37883];2550;12/06/2019 00:00;ELET
